STT,Mã khách hàng,Tên khách hàng,Địa chỉ,"Nhóm KH, NCC",Mã số thuế,Điện thoại,Ngừng theo dõi,
229,7519,CÔNG TY TNHH HENGFENG TOP LEISURE (VIETNAM),"Cụm công nghiệp Bình Sơn, Xã Bình Sơn, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603928259,,FALSE,
230,7547,CÔNG TY TNHH DNY PLASTIC,"Nhà xưởng cho thuê 1-6, đường N3-2, KCN Long Đức, Xã Long Đức, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603938105,,FALSE,
231,2398,CÔNG TY TNHH JHONSIN VIỆT NAM,"Số F5, F6, lô F, đường số 6, KCN AN Phước, Xã An Phước, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603942398,,FALSE,
232,7573,CÔNG TY TNHH NEW ALLIANZ ELECTRONIC TECHNOLOGY,"Nhà xưởng số 62, đường số 07, Khu công nghiệp Long Thành, Xã An Phước, Tỉnh Đồng Nai, Việt Nam.",,3603943754,,FALSE,
233,7548,CÔNG TY TNHH KINGCLEAN VIỆT NAM,"Lô 4.2, đường số 6, Khu công nghiệp công nghệ cao Long Thành, Thị trấn Long Thành, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603950092,,FALSE,
234,7576,CÔNG TY TNHH DYFLON VINA,"Nhà xưởng E-05, đường số 6, giai đoạn 2, khu công nghiệp Hố Nai, Phường Phước Tân, Tỉnh Đồng Nai, Việt Nam.",,3603964955,,FALSE,
235,7495,CÔNG TY TNHH SẢN XUẤT MÁY MÓC CƠ KHÍ HLP,"Tổ 26, ấp Bến Sắn, Xã Phước Thiền, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3603965726,,FALSE,
236,7563,CÔNG TY TNHH GREENOVATION PACKAGING,"Nhà xưởng 68-69, đường số 7, Khu công nghiệp Long Thành, Xã An Phước, Tỉnh Đồng Nai, Việt Nam.",,3603994332,,FALSE,
237,KH00045,CÔNG TY CỔ PHẦN HỮU CƠ DAITO,"Tổ 9, KP Thiên Bình, Phường Tam Phước, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",,3700320025,,FALSE,
238,7555,CÔNG TY TNHH NEW WIDE (VIỆT NAM),"Lô K-3A- CN, đường N8, KCN Mỹ Phước, Phường Thới Hòa, Thành phố Hồ Chí Minh, Việt Nam.",,3700593583,,FALSE,
239,7491,CÔNG TY TNHH  VẬT LIỆU XÂY DỰNG ĐỨC HẠNH,"Số 59, Đường Nguyễn Văn Tiết, Khu phố Đông Tư, Phường Lái Thiêu, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam",,3700873654,,FALSE,
240,7507,CÔNG TY TNHH EMIVEST FEEDMILL VIỆT NAM - CHI NHÁNH CHĂN NUÔI TẠI BÌNH PHƯỚC,"ấp 5, Xã Minh Lập, Thị xã Chơn Thành, Tỉnh Bình Phước, Việt Nam",,3701642642-005,,FALSE,
241,2642,CÔNG TY TNHH EMIVEST FEEDMILL VIỆT NAM - CHI NHÁNH CHĂN NUÔI TẠI BÌNH DƯƠNG,"Thửa đất số 706, Tờ bản đồ số 42, ấp Đồng Tâm, Xã Tam Lập, Huyện Phú Giáo, Tỉnh Bình Dương, Việt Nam",,3701642642-006,,FALSE,
242,7539,CÔNG TY TNHH EMIVEST FEEDMILL VIỆT NAM - CHI NHÁNH CHĂN NUÔI TẠI HÀ NỘI,"Lô CN-02, đường Hạnh Phúc, Khu công nghiệp Phú Nghĩa, Xã Phú Nghĩa, Huyện Chương Mỹ, Thành phố Hà Nội, Việt Nam",,3701642642-007,,FALSE,
243,7559,CÔNG TY TNHH EMIVEST FEEDMILL VIỆT NAM - CHI NHÁNH CHĂN NUÔI TẠI KHÁNH HÒA,"Đường Triệu Quốc Đạt, Lô số 07, Ô số 33 - Khu dân cư Đường Đ, Phường Bắc Nha Trang, Tỉnh Khánh Hòa, Việt Nam.",,3701642642-008,,FALSE,KO SÀI
244,7560,CÔNG TY TNHH EMIVEST FEEDMILL VIỆT NAM - CHI NHÁNH CHĂN NUÔI TẠI KHÁNH HÒA,"Đường Triệu Quốc Đạt, Lô số 07, Ô số 33 - Khu dân cư Đường Đ, Phường Bắc Nha Trang, Tỉnh Khánh Hòa, Việt Nam.",,3701642642-008,,FALSE,OK SÀI MÃ NÀY CHÍNH
245,7504,CÔNG TY TNHH EMIVEST FEEDMILL VIỆT NAM - CHI NHÁNH CHĂN NUÔI TẠI ĐỒNG NAI,"Thửa đất số 343, tờ bản đồ số 25, ấp Thanh Hóa, Xã Hố Nai 3, Huyện Trảng Bom, Tỉnh Đồng Nai, Việt Nam",,3701642642-009,,FALSE,
246,7516,CÔNG TY TNHH EMIVEST FEEDMILL VIỆT NAM - CHI NHÁNH CHĂN NUÔI TẠI NHƠN TRẠCH,"Nhà xưởng C, KCN Nhơn Trạch V, Thị trấn Hiệp Phước, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3701642642-016,,FALSE,
247,1271,CÔNG TY TNHH CNTUS VIỆT NAM,"Số 1 VSIP II-A, đường số 28, Khu công nghiệp Việt Nam - Singapore II-A, Phường Vĩnh Tân, Thành phố Tân Uyên, Tỉnh Bình Dương, Việt Nam",,3702181271,,FALSE,
248,7572,CÔNG TY TNHH TƯ VẤN THIẾT KẾ XÂY DỰNG TOÀN THỊNH,"Số 40, Tổ 2, Ấp 1, Phường Bến Cát, Thành phố Hồ Chí Minh, Việt Nam.",,3702564690,,FALSE,
249,KH00044,CÔNG TY TNHH KỸ THUẬT LÊ HUY,"Số 69/19, đường ống Nước Thô D1800, Khu phố Tân Hòa, Phường Đông Hòa, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam",,3702640969,,FALSE,
250,7802,CÔNG TY TNHH DIAMOND TIGER,"3H/50, Khu phố Bình Phước B, Phường Bình Chuẩn, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam",,3702787802,,FALSE,
251,2028,CÔNG TY TNHH GSD PRECISION (VIỆT NAM),"Số 26 VSIP II-A, Đường số 32, KCN Việt Nam  Singapore II-A, Thị trấn Tân Bình, Huyện Bắc Tân Uyên, Tỉnh Bình Dương, Việt Nam",,3702962028,,FALSE,
252,7496,CÔNG TY TNHH CÔNG NGHIỆP QUỐC TẾ HONGTUO (VIỆT NAM),"Số 0208, Đường Bùi Thị Xuân, Khu 2, Phường Hoà Phú, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam",,3703085926,,FALSE,
253,7532,CÔNG TY TNHH ILSHIN VIỆT NAM,"Lô số 30-4, Đường N14, Khu Công nghiệp Phước Đông, Xã Bàu Đồn, Huyện Gò Dầu, Tỉnh Tây Ninh, Việt Nam",,3901180642,,FALSE,
254,KH00052,CÔNG TY TNHH SẢN PHẨM THỂ THAO HUA XING,"Đường số 3, KCN Nhơn Trạch 2, Nhơn Phú, Xã Phú Hội, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3901240813,,FALSE,
255,7571,CÔNG TY CỔ PHẦN THỦY ĐIỆN ĐAK MI,"Thôn Lao Mưng, Xã Khâm Đức, Thành phố Đà Nẵng, Việt Nam.",,4000821691,,FALSE,
256,7500,CÔNG TY CP TƯ VẤN XÂY DỰNG HOÀNG LONG,"119 Nguyễn Phi Khanh, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,4400311423,,FALSE,
257,KH00013,HÀNG HÀNG LẺ ,,,,,FALSE,
258,KL001,Nguyễn Văn Quý,"KP Long Đức 1, Tam Phước, Thành Phố Biên Hòa, Đồng Nai",,,,FALSE,
