STT,Mã khách hàng,Tên khách hàng,Địa chỉ,"Nhóm KH, NCC",Mã số thuế,Điện thoại,Ngừng theo dõi,
59,8477,CÔNG TY TNHH RICH FARM VIỆT NAM,"44 Đường số 185, Khu phố 5, Phường Phước Long B, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,0313858477,,FALSE,
60,7570,CÔNG TY TNHH TTNT VÀ DV TM XD MINH QUÂN,"Số 35/E9 Đường 11, Khu phố 4, Phường Linh Xuân, Thành phố Hồ Chí Minh, Việt Nam.",,0313904349,,FALSE,
61,KH00036,CÔNG TY TNHH CO&I,"Số 86 Xuân Thủy, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,0313910582,,FALSE,
62,5622,CÔNG TY CỔ PHẦN ĐẦU TƯ KIM TRƯỜNG PHÁT,"10A, Nguyễn Thị Minh Khai, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,0313915622,,FALSE,
63,1173,CÔNG TY TNHH ACE ENG,"331/49/9A Phan Huy ích, Phường 14, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,0314111173,,FALSE,
64,KH00038,CÔNG TY TRÁCH NHIỆM HỮU HẠN GIẢI PHÁP CÔNG NGHỆ LOGISTICS,"13 Đường DC3, Phường Sơn Kỳ, Quận Tân phú, Thành phố Hồ Chí Minh, Việt Nam",,0314172722,,FALSE,
65,7527,CÔNG TY TRÁCH NHIỆM HỮU HẠN PHÚC MINH E&C,"5/4 Đường 42, Khu Phố 5, Phường Bình Trưng Đông, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,0314179365,,FALSE,
66,4984,CÔNG TY CỔ PHẦN THƯƠNG MẠI XUẤT NHẬP KHẨU PCM,"SAV5.03.03, tầng 3, tháp 5, Tòa nhà Sun Avenue, số 28 Mai Ch, Phng An Ph, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,0314314984,,FALSE,
67,7564,CÔNG TY TNHH CÔNG NGHIỆP NẶNG HIRO,"F44, Khu Nhà C2-C4, Đường Đồng Khởi, Phường Bình Dương, Thành phố Hồ Chí Minh, Việt Nam.",,0314385921,,FALSE,OK SÀI MÃ NÀY CHÍNH
69,7537,CÔNG TY TNHH BIPO SERVICE (VIỆT NAM),"Lầu 2, 63A Nam Kỳ Khởi Nghĩa, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,0314504311,,FALSE,
70,KH00034,CÔNG TY TNHH NÔNG NGHIỆP KỸ THUẬT CAO,"23/25B Nơ Trang Long, Phường 7, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,0314639446,,FALSE,
71,8094,CÔNG TY TNHH BO VIET FORKLIFT,"Tầng 8 Tòa nhà Loyal, 151 Võ Thị Sáu, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",,0314778094,,FALSE,
72,2063,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU SAKURA,"85 Hoàng Sa, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,0314952063,,FALSE,
73,KH00033,CÔNG TY TNHH BS CHEM VIỆT NAM - CHI NHÁNH LONG ĐỨC,"(Trong khuôn viên CT TNHH Phát Triển BĐS Daiwa House), 5-5, Xã Long Đức, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,0315127377001,,FALSE,
74,7514,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG LONG HƯNG THỊNH,"118/34/29 Liên Khu 5-6, Phường Bình Hưng Hòa B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",,0315180042,,FALSE,
75,KH00080,CÔNG TY TNHH MỘT THÀNH VIÊN THE KITCHENPRO,"B01-35 Khu Dân Cư Phú Long, Đường Nguyễn Hữu Thọ, ấp 4, Xã Phước Kiển, Huyện Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam",,0315259729,,FALSE,
76,7569,CÔNG TY TNHH PHÒNG SẠCH M&E HOÀNG SA,"94 Đường số 20, Phường Bình Hưng Hòa, Thành phố Hồ Chí Minh, Việt Nam.",,0315332344,,FALSE,
77,4476,CÔNG TY TNHH DỊCH VỤ VẬN TẢI PHÁT THÀNH ĐẠT,"284/23 Đường Long Thuận, Khu phố Long Thuận, Phường Long Phước, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,0315544476,,FALSE,
78,3270,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ UNICON,"Số 94 Đường Xuân Thủy, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,0315673270,,FALSE,
79,4477,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KỸ THUẬT CÔNG NGHIỆP HOÀNG DŨNG,"Số 2959 Quốc Lộ 1A, phường Tân Thới Nhất, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",,0315730497,,FALSE,
80,7543,CÔNG TY TNHH EMOI TECH,"197B  Bưng ông Thoàn, Phường Phú Hữu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,0315752155,,FALSE,
81,KH00082,CÔNG TY TNHH APYLD,"88 Phạm Văn Bạch, Phường 15, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,0316057965,,FALSE,
82,KH00088,CÔNG TY TNHH VẬN TẢI TOÀN CẦU 5 SAO,"5-7 Hoàng Việt, Phường 4, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,0316069537,,FALSE,
83,KH00041,CÔNG TY TNHH PARIS LOGISTICS,"Số 60 Nguyễn Văn Thủ, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,0316076485,,FALSE,
84,KH00012,CÔNG TY TNHH KPX CHEMICAL VINA,"Tầng 1 Cao ốc Yoco, 41 Nguyễn Thị Minh Khai, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,0316177596,,FALSE,
85,7535,CÔNG TY TNHH SPACECOOLING MIỀN NAM,"59 Đường số 8, Khu phố 5, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,0316215308,,FALSE,
86,7568,CÔNG TY CỔ PHẦN VẬT TƯ CÔNG NGHIỆP TEKCHEM,"43 Đường Số 19, Phường Bình Trưng, Thành phố Hồ Chí Minh, Việt Nam.",,0316253624,,FALSE,
